,symbol,product,ticker2,currency,instrument,region,exchange
1,10Y,10 YEAR MICRO TREASURY YIELD,10YF5,USD,Futures,US,CBOT
2,10Y,10 YEAR MICRO TREASURY YIELD,10YG5,USD,Futures,US,CBOT
3,1OZ,1 OUNCE GOLD FUTURES,1OZG5,USD,Futures,US,COMEX
4,1OZ,1 OUNCE GOLD FUTURES,1OZJ5,USD,Futures,US,COMEX
5,20U,30 YEAR UMBS 2.0% COUPON,20UF5,USD,Futures,US,CBOT
6,20U,30 YEAR UMBS 2.0% COUPON,20UJ5,USD,Futures,US,CBOT
7,20U,30 YEAR UMBS 2.0% COUPON,20UH5,USD,Futures,US,CBOT
8,20U,30 YEAR UMBS 2.0% COUPON,20UG5,USD,Futures,US,CBOT
9,25U,30 YEAR UMBS 2.5% COUPON,25UF5,USD,Futures,US,CBOT
10,25U,30 YEAR UMBS 2.5% COUPON,25UJ5,USD,Futures,US,CBOT
11,25U,30 YEAR UMBS 2.5% COUPON,25UH5,USD,Futures,US,CBOT
12,25U,30 YEAR UMBS 2.5% COUPON,25UG5,USD,Futures,US,CBOT
13,2YY,2 YEAR MICRO TREASURY YIELD,2YYF5,USD,Futures,US,CBOT
14,2YY,2 YEAR MICRO TREASURY YIELD,2YYG5,USD,Futures,US,CBOT
15,30U,30 YEAR UMBS 3.0% COUPON,30UF5,USD,Futures,US,CBOT
16,30U,30 YEAR UMBS 3.0% COUPON,30UJ5,USD,Futures,US,CBOT
17,30U,30 YEAR UMBS 3.0% COUPON,30UH5,USD,Futures,US,CBOT
18,30U,30 YEAR UMBS 3.0% COUPON,30UG5,USD,Futures,US,CBOT
19,30Y,30 YEAR MICRO TREASURY YIELD,30YF5,USD,Futures,US,CBOT
20,30Y,30 YEAR MICRO TREASURY YIELD,30YG5,USD,Futures,US,CBOT
21,35U,30 YEAR UMBS 3.5% COUPON,35UF5,USD,Futures,US,CBOT
22,35U,30 YEAR UMBS 3.5% COUPON,35UJ5,USD,Futures,US,CBOT
23,35U,30 YEAR UMBS 3.5% COUPON,35UH5,USD,Futures,US,CBOT
24,35U,30 YEAR UMBS 3.5% COUPON,35UG5,USD,Futures,US,CBOT
25,40U,30 YEAR UMBS 4% COUPON,40UF5,USD,Futures,US,CBOT
26,40U,30 YEAR UMBS 4% COUPON,40UJ5,USD,Futures,US,CBOT
27,40U,30 YEAR UMBS 4% COUPON,40UH5,USD,Futures,US,CBOT
28,40U,30 YEAR UMBS 4% COUPON,40UG5,USD,Futures,US,CBOT
29,45U,30 YEAR UMBS 4.5% COUPON,45UF5,USD,Futures,US,CBOT
30,45U,30 YEAR UMBS 4.5% COUPON,45UJ5,USD,Futures,US,CBOT
31,45U,30 YEAR UMBS 4.5% COUPON,45UH5,USD,Futures,US,CBOT
32,45U,30 YEAR UMBS 4.5% COUPON,45UG5,USD,Futures,US,CBOT
33,50U,30 YEAR UMBS 5.0% COUPON,50UF5,USD,Futures,US,CBOT
34,50U,30 YEAR UMBS 5.0% COUPON,50UJ5,USD,Futures,US,CBOT
35,50U,30 YEAR UMBS 5.0% COUPON,50UH5,USD,Futures,US,CBOT
36,50U,30 YEAR UMBS 5.0% COUPON,50UG5,USD,Futures,US,CBOT
37,5YY,5 YEAR MICRO TREASURY YIELD,5YYF5,USD,Futures,US,CBOT
38,5YY,5 YEAR MICRO TREASURY YIELD,5YYG5,USD,Futures,US,CBOT
39,AC,ETHANOL -CME,EHF5,USD,Futures,US,CBOT
40,AC,ETHANOL -CME,EHF8,USD,Futures,US,CBOT
41,AC,ETHANOL -CME,EHZ7,USD,Futures,US,CBOT
42,AC,ETHANOL -CME,EHX7,USD,Futures,US,CBOT
43,AC,ETHANOL -CME,EHV7,USD,Futures,US,CBOT
44,AC,ETHANOL -CME,EHU7,USD,Futures,US,CBOT
45,AC,ETHANOL -CME,EHQ7,USD,Futures,US,CBOT
46,AC,ETHANOL -CME,EHN7,USD,Futures,US,CBOT
47,AC,ETHANOL -CME,EHM7,USD,Futures,US,CBOT
48,AC,ETHANOL -CME,EHK7,USD,Futures,US,CBOT
49,AC,ETHANOL -CME,EHJ7,USD,Futures,US,CBOT
50,AC,ETHANOL -CME,EHH7,USD,Futures,US,CBOT
51,AC,ETHANOL -CME,EHG7,USD,Futures,US,CBOT
52,AC,ETHANOL -CME,EHF7,USD,Futures,US,CBOT
