index,OPEN,HIGH,LOW,FINAL,VOLUME
2023-07-18 05:00:00,165.9,165.9,165.9,165.9,0.0
2023-07-19 05:00:00,165.65,165.8,165.05,165.15,9.0
2023-07-20 05:00:00,166.55,166.75,166.05,166.75,4.0
2023-07-21 05:00:00,166.8,169.25,166.8,169.25,2.0
2023-07-24 05:00:00,172.2,172.2,172.2,172.2,0.0
2023-07-25 05:00:00,171.15,171.15,171.15,171.15,0.0
2023-07-26 05:00:00,171.95,171.95,171.95,171.95,0.0
2023-07-27 05:00:00,170.6,170.6,170.6,170.6,0.0
2023-07-28 05:00:00,167.15,167.15,167.15,167.15,0.0
2023-07-31 05:00:00,172.75,172.75,172.75,172.75,0.0
2023-08-01 05:00:00,172.1,172.1,172.1,172.1,0.0
2023-08-02 05:00:00,172.95,173.2,172.8,173.2,6.0
2023-08-03 05:00:00,171.6,171.6,170.6,170.6,8.0
2023-08-04 05:00:00,167.65,167.65,167.65,167.65,0.0
2023-08-07 05:00:00,168.85,170.1,168.25,170.1,16.0
2023-08-08 05:00:00,167.8,167.8,167.8,167.8,0.0
2023-08-09 05:00:00,166.65,166.65,166.65,166.65,0.0
2023-08-10 05:00:00,165.9,166.35,165.9,166.35,1.0
2023-08-11 05:00:00,164.3,164.3,164.3,164.3,0.0
2023-08-14 05:00:00,159.9,160.1,159.9,160.1,1.0
2023-08-15 05:00:00,159.1,159.1,159.1,159.1,0.0
2023-08-16 05:00:00,158.55,158.55,158.55,158.55,0.0
2023-08-17 05:00:00,157.35,157.35,157.35,157.35,2.0
2023-08-18 05:00:00,158.15,158.15,158.15,158.15,0.0
2023-08-21 05:00:00,159.25,159.25,159.25,159.25,0.0
2023-08-22 05:00:00,161.9,162.4,159.1,159.1,17.0
2023-08-23 05:00:00,162.2,162.2,162.2,162.2,0.0
2023-08-24 05:00:00,162.25,162.25,162.25,162.25,0.0
2023-08-25 05:00:00,161.35,161.35,161.35,161.35,0.0
2023-08-28 05:00:00,160.35,160.35,159.9,159.9,2.0
2023-08-29 05:00:00,160.75,160.75,160.75,160.75,0.0
2023-08-30 05:00:00,162.75,162.75,162.75,162.75,0.0
2023-08-31 05:00:00,162.15,162.15,162.15,162.15,0.0
2023-09-01 05:00:00,159.8,159.8,159.8,159.8,0.0
2023-09-05 05:00:00,158.7,160.75,158.65,160.75,9.0
2023-09-06 05:00:00,161.25,161.25,161.25,161.25,0.0
2023-09-07 05:00:00,157.55,157.55,157.55,157.55,0.0
2023-09-08 05:00:00,157.95,157.95,156.4,156.4,1.0
2023-09-11 05:00:00,160.45,160.45,160.45,160.45,0.0
2023-09-12 05:00:00,159.95,159.95,159.95,159.95,0.0
2023-09-13 05:00:00,160.25,160.55,159.85,160.55,31.0
2023-09-14 05:00:00,159.5,162.55,159.5,162.55,27.0
2023-09-15 05:00:00,162.45,167.3,162.45,167.3,3.0
2023-09-18 05:00:00,167.35,168.05,167.35,168.05,2.0
2023-09-19 05:00:00,169.85,169.85,169.85,169.85,0.0
2023-09-20 05:00:00,166.9,166.9,166.9,166.9,0.0
2023-09-21 05:00:00,164.05,164.05,164.05,164.05,0.0
2023-09-22 05:00:00,163.9,163.95,159.55,159.55,27.0
2023-09-25 05:00:00,158.75,158.75,158.05,158.05,41.0
2023-09-26 05:00:00,158.1,159.75,158.1,158.75,19.0
2023-09-27 05:00:00,157.8,157.8,157.8,157.8,1.0
2023-09-28 05:00:00,156.05,156.05,156.05,156.05,0.0
2023-09-29 05:00:00,154.6,154.65,154.25,154.25,7.0
2023-10-02 05:00:00,157.25,157.25,157.25,157.25,0.0
2023-10-03 05:00:00,155.9,156.4,155.3,156.4,11.0
2023-10-04 05:00:00,154.5,154.5,154.5,154.5,0.0
2023-10-05 05:00:00,153.55,153.55,153.55,153.55,3.0
2023-10-06 05:00:00,152.9,154.65,152.9,154.4,4.0
2023-10-09 05:00:00,155.3,155.3,154.2,154.8,4.0
2023-10-10 05:00:00,153.3,156.4,153.15,156.4,2.0
2023-10-11 05:00:00,156.25,156.25,156.25,156.25,0.0
2023-10-12 05:00:00,157.7,157.7,157.7,157.7,0.0
2023-10-13 05:00:00,159.4,162.15,159.4,162.1,3.0
2023-10-16 05:00:00,162.1,162.1,162.05,162.1,0.0
2023-10-17 05:00:00,162.0,163.7,162.0,163.4,7.0
2023-10-18 05:00:00,164.1,164.65,164.1,164.45,35.0
2023-10-19 05:00:00,165.95,167.85,165.85,167.55,145.0
2023-10-20 05:00:00,168.9,171.5,168.9,170.95,31.0
2023-10-23 05:00:00,170.45,171.9,170.3,171.05,35.0
2023-10-24 05:00:00,172.5,174.1,172.25,173.8,87.0
2023-10-25 05:00:00,169.35,169.8,168.75,169.8,13.0
2023-10-26 05:00:00,169.3,169.8,168.1,168.1,44.0
