DATE_TIME,current_contract,next_contract,carry_contract
2025-05-12 12:00:00,20250900,20251200,20250500
2025-09-10 23:00:00,20251200,20260300,20250900
2025-12-10 23:00:00,20260300,20260500,20251200
2026-03-10 09:45:00,20260500,20260900,20260300
