,symbol,product,ticker2,currency,instrument,region,exchange
141,1398,IND &amp; COMM BK OF CHINA - H,ICBH4,HKD,FUT,HK,HKFE
142,16,SUN HUNG KAI PROPERTIES,SHKM4,HKD,FUT,HK,HKFE
143,161390,HANKOOK TIRE &amp; TECHNOLOGY CO,1555M,KRW,FUT,KR,KSE
144,161890,KOLMAR KOREA CO LTD,1DE4U,KRW,FUT,KR,KSE
145,161890,KOLMAR KOREA CO LTD,1DE4Z,KRW,FUT,KR,KSE
146,178920,PI ADVANCED MATERIALS CO LTD,1EA4K,KRW,FUT,KR,KSE
147,178920,PI ADVANCED MATERIALS CO LTD,1EA4J,KRW,FUT,KR,KSE
148,1810,XIAOMI CORP-CLASS B,MIUH4,HKD,FUT,HK,HKFE
149,1833,PING AN HEALTHCARE AND TECHN,PHTJ4,HKD,FUT,HK,HKFE
150,1898,CHINA COAL ENERGY CO - H,CCEM4,HKD,FUT,HK,HKFE
151,19,SWIRE PACIFIC LTD - CL A,SWAK4,HKD,FUT,HK,HKFE
152,19,SWIRE PACIFIC LTD - CL A,SWAJ4,HKD,FUT,HK,HKFE
153,1928,SANDS CHINA LTD,SANH4,HKD,FUT,HK,HKFE
154,196170,ALTEOGEN INC,1FP4J,KRW,FUT,KR,KSE
155,2,CLP HOLDINGS LTD,CLPU4,HKD,FUT,HK,HKFE
156,2,CLP HOLDINGS LTD,CLPK4,HKD,FUT,HK,HKFE
157,2007,COUNTRY GARDEN HOLDINGS CO,COGJ4,HKD,FUT,HK,HKFE
158,2015,LI AUTO INC-CLASS A,LAUK4,HKD,FUT,HK,HKFE
159,2018,AAC TECHNOLOGIES HOLDINGS IN,AACJ4,HKD,FUT,HK,HKFE
160,204320,HL MANDO CO LTD,1DC5Z,KRW,FUT,KR,KSE
161,204320,HL MANDO CO LTD,1DC4U,KRW,FUT,KR,KSE
162,204320,HL MANDO CO LTD,1DC4Z,KRW,FUT,KR,KSE
163,2238,GUANGZHOU AUTOMOBILE GROUP-H,GACJ4,HKD,FUT,HK,HKFE
164,2269,WUXI BIOLOGICS CAYMAN INC,WXBK4,HKD,FUT,HK,HKFE
165,23,BANK OF EAST ASIA LTD,BEAH4,HKD,FUT,HK,HKFE
166,2318,PING AN INSURANCE GROUP CO-H,PAIM4,HKD,FUT,HK,HKFE
167,2328,PICC PROPERTY &amp; CASUALTY-H,PICH4,HKD,FUT,HK,HKFE
168,2331,LI NING CO LTD,LNIM4,HKD,FUT,HK,HKFE
169,2333,GREAT WALL MOTOR CO LTD-H,GWMJ4,HKD,FUT,HK,HKFE
170,2382,SUNNY OPTICAL TECH,SNOK4,HKD,FUT,HK,HKFE
171,2388,BOC HONG KONG HOLDINGS LTD,BOCK4,HKD,FUT,HK,HKFE
172,241,ALIBABA HEALTH INFORMATION T,ALHM4,HKD,FUT,HK,HKFE
173,247540,ECOPRO BM CO LTD,1EY4J,KRW,FUT,KR,KSE
174,251270,NETMARBLE CORP,1E54J,KRW,FUT,KR,KSE
175,2600,ALUMINUM CORP OF CHINA LTD-H,ALCJ4,HKD,FUT,HK,HKFE
176,2601,CHINA PACIFIC INSURANCE GR-H,CPIU4,HKD,FUT,HK,HKFE
177,2628,CHINA LIFE INSURANCE CO-H,CLIM4,HKD,FUT,HK,HKFE
